1242,Death Note
5190,Code Geass: Hangyaku no Lelouch
2352,Sword Art Online
6314,Naruto
831,L'Attaque des Titans
5855,Bleach
5469,Fullmetal Alchemist: Brotherhood
5395,Fullmetal Alchemist
6266,Elfen Lied
7862,Angel Beats!
7514,Clannad
4041,Toradora!
6480,Code Geass: Hangyaku no Lelouch R2
5202,Soul Eater
7380,Tengen Toppa Gurren Lagann
3587,Steins;Gate
6430,Naruto: Shippuuden
7186,Fairy Tail
5332,Mirai Nikki
3628,Durarara!!
768,Highschool of the Dead
1713,Ao no Exorcist
4680,Suzumiya Haruhi no Yuuutsu
1829,Bakemonogatari
3905,Neon Genesis Evangelion
4731,Cowboy Bebop
736,One Piece
7321,Ouran Koukou Host Club
169,Darker than Black: Kuro no Keiyakusha
358,Le Voyage de Chihiro
321,Clannad: After Story
7934,Another
2106,Mahou Shoujo Madoka★Magica
3245,K-On!
1721,Black Butler
3483,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
1345,Guilty Crown
4523,Higurashi no Naku Koro ni
2564,Deadman Wonderland
782,Fate/stay night
108,Samurai Champloo
199,Kaichou wa Maid-sama!
2019,Kill la Kill
6684,Dragon Ball Z
885,Lucky☆Star
7031,Psycho-Pass
1373,Baccano!
3127,D.Gray-man
2037,Fate/Zero
6518,Zero no Tsukaima
1,Claymore
3892,Hellsing
888,Le Château ambulant
5941,Shakugan no Shana
6211,No Game No Life
2677,Vampire Knight
8369,Ore no Imouto ga Konnani Kawaii Wake ga Nai
3829,Spice & Wolf
1712,FLCL
8172,Princesse Mononoké
2006,Black Lagoon
6591,Chobits
6067,5 centimètres par seconde
8080,Chuunibyou demo Koi ga Shitai!
2252,Toaru Majutsu no Index
3772,Rosario to Vampire
4853,Hyouka
1952,Full Metal Panic!
2949,Dragon Ball
405,Baka to Test to Shoukanjuu
2100,Higashi no Eden
3796,Trigun
5967,Gintama
5012,Kimi ni Todoke
6493,High School DxD
6523,Boku wa Tomodachi ga Sukunai
3620,Accel World
508,NHK ni Youkoso!
8517,InuYasha
2667,School Days
5492,Hataraku Maou-sama!
6056,Toki wo Kakeru Shoujo
2400,Kami nomi zo Shiru Sekai (Que sa volonté soit faite)
4863,Tonari no Kaibutsu-kun
2002,Fruits Basket
7352,Is this a Zombie ?
4112,Sword Art Online II
6367,Sakurasou no Pet na Kanojo
4930,Mushishi
5656,Great Teacher Onizuka
7325,Log Horizon
6900,Suzumiya Haruhi no Yuuutsu (2009)
908,Btooom!
4067,Katekyo Hitman Reborn!
5340,Noragami
2118,Eureka Seven
6885,Ergo Proxy
5582,Hellsing Ultimate
939,Kyoukai no Kanata
2341,Tokyo Ghoul
3538,K-On!!
1013,Fate/Zero 2nd Season
2803,Pandora Hearts
8602,Blood+
4204,Rurouni Kenshin: Meiji Kenkaku Romantan
4527,Mon voisin Totoro
3632,Kuroko no Basket
8642,Zero no Tsukaima: Futatsuki no Kishi
1139,IS: Infinite Stratos
2433,Suzumiya Haruhi no Shoushitsu
5790,Lovely★Complex
6745,Higurashi no Naku Koro ni Kai
2191,Air
8201,Darker than Black: Ryuusei no Gemini
8472,Toaru Kagaku no Railgun
3306,Nisemonogatari
4098,K
352,Vampire Knight Guilty
7041,Bakuman.
3803,Kokoro Connect
1851,Shiki
3115,Magi: The Labyrinth of Magic
724,Pokemon
3901,Kuroshitsuji II
1469,Fullmetal Alchemist: The Conqueror of Shamballa
4779,Dragon Ball GT
6241,Hunter x Hunter
427,My Teen Romantic Comedy SNAFU
8067,Gosick
2121,Air Gear
4521,Free!
4748,Neon Genesis Evangelion: The End of Evangelion
1207,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei
2484,Summer Wars
1606,Date A Live
954,Azumanga Daioh
6265,Shinsekai yori
7008,Zero no Tsukaima: Princesses no Rondo
9086,Full Metal Panic? Fumoffu
1622,Akame ga Kill!
3198,Zetsuen no Tempest
3991,Sora no Otoshimono
2225,To LOVE-Ru
4684,Rosario to Vampire Capu2
1930,Shakugan no Shana II
6261,Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!
6081,Serial Experiments Lain
1119,Black Lagoon: The Second Barrage
6762,Nisekoi
5260,Danshi Koukousei no Nichijou
4293,The Tatami Galaxy
3325,The Tatami Galaxy Specials
668,D.C.S.S. ~Da Capo Second Season~
5487,Armitage III Dual-Matrix
4161,Dual! Parallel Trouble Adventure
8989,Dual Parallel! Trouble Adventures Special
6176,Sailor Victory
5241,Ghost in the Shell: S.A.C. 2nd GIG - Individual Eleven
8302,Graduation
6724,Sotsugyou M: Oretachi no Carnival
7168,Doukyuusei 2 Special: Sotsugyousei
1846,Omoide no Album
2697,Ghost in the Shell: Stand Alone Complex 2nd GIG - Individual Eleven - Tachikomatic Days
5331,Manga Jinbutsushi
6225,Die Now
4606,Code Geass: Lelouch of the Rebellion Picture Drama
7194,Code Geass: Hangyaku no Lelouch Recaps
6628,Bleach the Movie 2: The DiamondDust Rebellion
1162,Toshokan Sensou
4926,Code Geass: Lelouch of the Rebellion Special Edition Black Rebellion
8052,Fuuma no Kojirou: Fuuma Hanran-hen
4756,Code Geass: Lelouch of the Rebellion R2 Special Edition Zero Requiem
4443,Spooky Kitaro: Crash!! The Great Rebellion of the Multi-Dimensional Yōkai
2553,Code Geass: Lelouch of the Rebellion R2 Extra Flash - Baba Theater Redux
7428,Queen's Blade: Rebellion
2735,Puella Magi Madoka Magica the Movie Part III: Rebellion
7255,Queen's Blade: Rebellion Specials
7982,Queen's Blade Rebellion vs. Hagure Yuusha no Estetica
3161,Puella Magi Madoka Magica the Movie Part I: Beginnings
6355,Puella Magi Madoka Magica the Movie Part II: Eternal
8071,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari - Magica Quartet x Nisioisin
7767,Step Up Love Story
5275,Clannad - Movie
902,"Clannad: Another World, Tomoyo Chapter"
4396,"Clannad After Story: Another World, Kyou Chapter"
7476,Saikano: Another Love Song
4287,King of Fighters: Another Day
4295,.hack//Intermezzo
1436,Wild 7 Another
1591,Another Lady Innocent
1117,Gift: Eternal Rainbow Special
291,ToHeart 2 AD
7306,To Heart 2 AD Plus
4694,Prince of Tennis: Another Story - Messages From Past and Future
2246,Fullmetal Alchemist: Brotherhood OVA Collection
8288,Usavich Special
2792,Prince of Tennis: Another Story - Messages From Past and Future OVA Bonus
4988,Ichiban Ushiro no Daimaou Specials
3006,Angel Beats!: Another Epilogue
6113,Prince of Tennis: Another Story II - Ano Toki no Bokura
4244,Another: The Other
2342,Nyaruko: Crawling With Love!
426,Prince of Tennis: Another Story II - Ano Toki no Bokura OVA Bonus
5689,"Problem Children Are Coming From Another World, Aren't They?"
3945,Nyaruko: Crawling With Love! Second Season
2952,Lupin III: Touhou Kenbunroku - Another Page
5027,Sengoku Basara Movie: 4-Koma Gekijou - Another Last Party
5894,Ghost in the Shell: Arise - Another Mission
1601,Another Special
5791,Goannai Shimasu Another World e
1786,Detective Conan Movie 18: The Sniper from Another Dimension
2229,Persona 4 The Golden Animation: Thank you Mr. Accomplice
1044,Mobile Suit Gundam 0083: The Afterglow Of Zeon
8373,Matou Kitan Zankan!
1278,Terror in Resonance
6268,Crush Gear Turbo The Movie - Kaiservern’s Ultimate Challenge
4571,Monster
4594,Beck
5460,Destiny of the Shrine Maiden
3370,Diamond Daydreams
8214,Welcome to Pia Carrot! Sayaka's Love Story
8628,Gankutsuou: The Count of Monte Cristo
3635,Mahoromatic - Something More Beautiful
6250,Requiem from the Darkness
5448,Crest of the Stars
7807,Akahori's Heretical Hour Love Game
2231,Emma: A Victorian Romance
8208,Kaleido Star: Legend of Phoenix - The Layla Hamilton Story
3438,Yu-Gi-Oh!
4907,Yu-Gi-Oh! GX
5921,Saiyuki: Requiem
7492,Demon City Shinjuku
7717,Doraemon
6298,Pokemon: The First Movie
815,Digimon Adventure
7999,Key Princess Story Eternal Alice Rondo
3030,PopoloCrois
5685,I'm Gonna Be an Angel!
1332,Lemon Angel Project
8159,First Kiss Story
391,RahXephon: Harmonic Convergence
2824,Kishin Houkou Demonbane
1559,Tenamonya Voyagers
5789,Prince of Tennis: Atobe Kara no Okurimono
4542,Milk Money
4256,Gash Bell The 1st Movie: Unlisted Demon
4487,Neighborhood Stories
3912,The One Being Sung
992,Digimon Data Squad
4369,Digimon Tamers
4572,The Story of Saiunkoku
5677,Those Who Hunt Elves
1535,Those Who Hunt Elves II
417,Tokyo Daigaku Monogatari
2528,Roar of the Machine God Demonbane (2006)
1750,Netrun-mon the Movie
3160,Wicked City
5257,Monster Extra
7,Pokemon: The Movie 2000
8010,Pokemon 3: The Movie
6216,Pokemon 4Ever
5372,Rose of Versailles
